lo num,ronda,local,visitante,gl,gv,clasifica,fecha
1,A,Mexico,South Africa,2,0,,2026-06-11 21:00
2,A,South Korea,Czechia,2,1,,2026-06-12 4:00
3,B,Canada,Bosnia-Herzegovina,1,1,,2026-06-12 21:00
4,D,USA,Paraguay,4,1,,2026-06-13 3:00
8,B,Qatar,Switzerland,1,1,,2026-06-13 21:00
7,C,Brazil,Morocco,1,1,,2026-06-14 0:00
5,C,Haiti,Scotland,0,1,,2026-06-14 3:00
6,D,Australia,Turkiye,2,0,,2026-06-14 6:00
10,E,Germany,Curacao,7,1,,2026-06-14 19:00
11,F,Netherlands,Japan,2,2,,2026-06-14 22:00
9,E,Ivory Coast,Ecuador,1,0,,2026-06-15 1:00
12,F,Sweden,Tunisia,5,1,,2026-06-15 4:00
14,H,Spain,Cape Verde,0,0,,2026-06-15 18:00
16,G,Belgium,Egypt,1,1,,2026-06-15 21:00
13,H,Saudi Arabia,Uruguay,1,1,,2026-06-16 0:00
15,G,Iran,New Zealand,2,2,,2026-06-16 3:00
17,I,France,Senegal,3,1,,2026-06-16 21:00
18,I,Iraq,Norway,1,4,,2026-06-17 0:00
19,J,Argentina,Algeria,3,0,,2026-06-17 3:00
20,J,Austria,Jordan,3,1,,2026-06-17 6:00
23,K,Portugal,DR Congo,1,1,,2026-06-17 19:00
22,L,England,Croatia,4,2,,2026-06-17 22:00
21,L,Ghana,Panama,1,0,,2026-06-18 1:00
24,K,Uzbekistan,Colombia,1,3,,2026-06-18 4:00
25,A,Czechia,South Africa,1,1,,2026-06-18 18:00
26,B,Switzerland,Bosnia-Herzegovina,4,1,,2026-06-18 21:00
27,B,Canada,Qatar,6,0,,2026-06-19 0:00
28,A,Mexico,South Korea,1,0,,2026-06-19 3:00
32,D,USA,Australia,,,,2026-06-19 21:00
30,C,Scotland,Morocco,,,,2026-06-20 0:00
29,C,Brazil,Haiti,,,,2026-06-20 2:30
31,D,Turkiye,Paraguay,,,,2026-06-20 5:00
35,F,Netherlands,Sweden,,,,2026-06-20 19:00
33,E,Germany,Ivory Coast,,,,2026-06-20 22:00
34,E,Ecuador,Curacao,,,,2026-06-21 2:00
36,F,Tunisia,Japan,,,,2026-06-21 6:00
38,H,Spain,Saudi Arabia,,,,2026-06-21 18:00
39,G,Belgium,Iran,,,,2026-06-21 21:00
37,H,Uruguay,Cape Verde,,,,2026-06-22 0:00
40,G,New Zealand,Egypt,,,,2026-06-22 3:00
43,J,Argentina,Austria,,,,2026-06-22 19:00
42,I,France,Iraq,,,,2026-06-22 23:00
41,I,Norway,Senegal,,,,2026-06-23 2:00
44,J,Jordan,Algeria,,,,2026-06-23 5:00
47,K,Portugal,Uzbekistan,,,,2026-06-23 19:00
45,L,England,Ghana,,,,2026-06-23 22:00
46,L,Panama,Croatia,,,,2026-06-24 1:00
48,K,Colombia,DR Congo,,,,2026-06-24 4:00
51,B,Switzerland,Canada,,,,2026-06-24 21:00
52,B,Bosnia-Herzegovina,Qatar,,,,2026-06-24 21:00
49,C,Scotland,Brazil,,,,2026-06-25 0:00
50,C,Morocco,Haiti,,,,2026-06-25 0:00
53,A,Czechia,Mexico,,,,2026-06-25 3:00
54,A,South Africa,South Korea,,,,2026-06-25 3:00
55,E,Curacao,Ivory Coast,,,,2026-06-25 22:00
56,E,Ecuador,Germany,,,,2026-06-25 22:00
57,F,Japan,Sweden,,,,2026-06-26 1:00
58,F,Tunisia,Netherlands,,,,2026-06-26 1:00
59,D,Turkiye,USA,,,,2026-06-26 4:00
60,D,Paraguay,Australia,,,,2026-06-26 4:00
61,I,Norway,France,,,,2026-06-26 21:00
62,I,Senegal,Iraq,,,,2026-06-26 21:00
65,H,Cape Verde,Saudi Arabia,,,,2026-06-27 2:00
66,H,Uruguay,Spain,,,,2026-06-27 2:00
63,G,Egypt,Iran,,,,2026-06-27 5:00
64,G,New Zealand,Belgium,,,,2026-06-27 5:00
67,L,Panama,England,,,,2026-06-27 23:00
68,L,Croatia,Ghana,,,,2026-06-27 23:00
71,K,Colombia,Portugal,,,,2026-06-28 1:30
72,K,DR Congo,Uzbekistan,,,,2026-06-28 1:30
69,J,Algeria,Austria,,,,2026-06-28 4:00
70,J,Jordan,Argentina,,,,2026-06-28 4:00
